product_id,sku,title,slug,brand,category,price,currency,description,image_url,image_filename,available_countries,stock,is_available,tags,gender,color,size,material,rating,num_reviews,popularity_score,weight_kg,dimensions_cm,manufactured_date,genre,discount
2000010,NIK-00010,Nike Footwear Max 8424,nike-footwear-max-8424,Nike,Footwear,89,USD,"Lace up and light out in the Nike Footwear Max 8424, a street-smart sneaker that fuses plush cushioning with feather-light mesh so every stride feels like you’re coasting on air. Reinforced overlays lock your foot in place for quick cuts on the track or casual cruising downtown, while the grippy rubber outsole turns wet pavement into a green light. Fresh color pops and that iconic Swoosh keep your look sharp whether you’re grinding out miles or grabbing coffee.",https://picsum.photos/seed/nike-footwear-max-8424/1200/1200,nike-footwear-max-8424.jpg,"AU,FR",295,True,"urban,premium,fitness",Men,"Triple Black, White/Black, Volt/Laser Orange, Grey Fog","7, 8, 8.5, 9, 9.5, 10, 11",Leather,3.2,3531,64,1.47,60x51x4,09-10-2025,,10
2000011,NIK-00011,Nike Footwear Max 994,nike-footwear-max-994,Nike,Footwear,89,USD,"Lace into limitless comfort with the Nike Max 994—an everyday cruiser turned street-style statement. Its plush Max Air unit pampers every stride while breathable mesh keeps things chill from sunrise miles to sunset hangs. Rock-solid rubber outsoles grip city pavement, and the sleek, layered upper pairs effortlessly with joggers, jeans, or gym shorts. Lightweight, durable, and unmistakably Nike, these kicks turn routine routes into joyrides.",https://picsum.photos/seed/nike-footwear-max-994/1200/1200,nike-footwear-max-994.jpg,"UK,CA",274,True,"outdoor,running,leather",Unisex,"Black, White, Wolf Grey, Midnight Navy","7, 8, 9, 10, 11, 12",Cotton,4.7,617,71,3.02,40x11x4,09-10-2025,,10
2000012,NIK-00012,Nike Footwear Edition 242,nike-footwear-edition-242,Nike,Footwear,85,USD,"Lace up and light out in the Nike Footwear Edition 242—engineered for athletes who treat every sidewalk like a stadium. Feather-light uppers breathe with you while responsive cushioning snaps back on every push-off, keeping your stride springy from mile one to mile done. Subtle reflective hits and a sleek, futuristic silhouette turn heads whether you’re pacing a 5K or pounding coffee-run pavement. Grab a pair and feel why legends don’t just run—they Revolution.",https://picsum.photos/seed/nike-footwear-edition-242/1200/1200,nike-footwear-edition-242.jpg,"DE,CA",246,True,"leather,daily,urban",Unisex,"White/Black, Volt/Anthracite, Navy/Gum, Grey/Pink Blast","7, 8, 9, 10, 11, 12",Mesh,5.0,2172,100,2.76,23x32x36,09-10-2025,,15
2000013,NIK-00013,Nike Footwear 2025 2537,nike-footwear-2025-2537,Nike,Footwear,85,USD,"Step into tomorrow with the Nike Footwear 2025 2537, a sleek fusion of street-smart swagger and cloud-like cushioning that turns every sidewalk into your personal runway. Feather-light synthetics hug your foot while responsive foam rebounds your stride, so you can crush workouts, commutes, and midnight tacos without missing a beat. Subtle reflective hits catch streetlights like paparazzi flashes, guaranteeing you look as fast as you feel. Limited drop—once these 200 pairs are gone, they’re urban legend.",https://picsum.photos/seed/nike-footwear-2025-2537/1200/1200,nike-footwear-2025-2537.jpg,AU,160,True,"casual,sport,travel",Men,"White, Black, Volt, Midnight Navy","7, 8, 9, 10, 11, 12",Polyester,3.1,4160,58,0.69,43x9x16,09-10-2025,,12
2000014,NIK-00014,Nike Footwear X 1965,nike-footwear-x-1965,Nike,Footwear,110,USD,"Step back into tomorrow with the Nike Footwear X 1965, a retro-futurist sneaker that fuses vintage track DNA with next-gen cushioning. Lightweight mesh and suede overlays keep things breathable and timeless, while the stacked foam midsole rockets every stride with energy-return comfort. Whether you’re clocking laps or city blocks, the grippy traction pods keep you glued to the pavement in throwback swagger. Lace up and own the intersection of heritage and hype.",https://picsum.photos/seed/nike-footwear-x-1965/1200/1200,nike-footwear-x-1965.jpg,FR,41,True,"daily,office,travel",Women,"White/University Red, Black/Metallic Silver, Midnight Navy/Gum, Ash Grey/Coral","7, 8, 9, 10, 11, 12",Denim,3.4,2573,57,1.42,47x46x20,09-10-2025,,10
2000015,NIK-00015,Nike Footwear 2025 5181,nike-footwear-2025-5181,Nike,Footwear,75,USD,"Lace into the future with Nike’s 2025 5181—an ultra-light trainer that fuses street style with track-ready tech, keeping every stride spring-loaded and cloud-soft. Breathable mono-mesh teams up with a grippy, energy-return midsole to turn city sidewalks and treadmill belts into your personal playground. Subtle reflective hits keep you visible after dusk, while the sleek, minimalist upper pairs as easily with joggers as with jeans. Grab a pair and feel why athletes and casual cruisers alike are calling it their go-to for all-day, anywhere comfort.",https://picsum.photos/seed/nike-footwear-2025-5181/1200/1200,nike-footwear-2025-5181.jpg,"FR,CA,US,AU",275,True,"leather,portable,budget",Unisex,"White/Black, Cool Grey/Volt, Midnight Navy/White","7, 8, 9, 10, 11, 12",Cotton,3.7,1292,60,1.92,24x44x34,09-10-2025,,10
2000016,NIK-00016,Nike Footwear Pro 9087,nike-footwear-pro-9087,Nike,Footwear,79,USD,"Meet the Nike Footwear Pro 9087—your new secret weapon for everything from sunrise jogs to late-night errands. Feather-light yet tough-as-nails, its engineered mesh hugs your foot like a second skin while the responsive foam spring-loads every stride. Subtle reflective hits keep you visible when the pace picks up, and the sleek, speed-line design turns sidewalks into runways. Lace up, feel the bounce, and let the miles disappear beneath you.",https://picsum.photos/seed/nike-footwear-pro-9087/1200/1200,nike-footwear-pro-9087.jpg,"US,CA,FR",79,True,"portable,budget,travel",Unisex,"White, Black, Grey, Navy","7, 8, 9, 10, 11, 12",Denim,4.0,2057,88,2.97,10x45x28,09-10-2025,,10
2000017,NIK-00017,Nike Footwear Sport 723,nike-footwear-sport-723,Nike,Footwear,75,USD,"Feel every stride turn effortless in the Nike Footwear Sport 723, a feather-light trainer engineered to blur the line between gym power and street style. Breathable mesh keeps your feet cool from sunrise miles to late-night errands, while responsive cushioning snaps back with every push-off for a springy, energetic ride. Finished with sleek tonal Swooshes and a traction-packed outsole, this pair is proof that performance and everyday swagger can coexist.",https://picsum.photos/seed/nike-footwear-sport-723/1200/1200,nike-footwear-sport-723.jpg,"AU,DE",282,True,"daily,portable,sport",Unisex,"Black, White, Cool Grey, University Blue","7, 8, 9, 10, 11, 12",Canvas,3.1,3024,67,0.56,13x7x20,09-10-2025,,10
2000018,NIK-00018,Nike Footwear Lite 654,nike-footwear-lite-654,Nike,Footwear,75,USD,"Feather-light yet fiercely durable, the Nike Footwear Lite 654 turns every sidewalk into your personal catwalk. Engineered mesh keeps the breeze flowing while responsive foam springs you forward—whether you're dashing to class or pacing through weekend errands. Slip them on, lock the laces, and let the minimalist silhouette speak volumes about your speed and style.",https://picsum.photos/seed/nike-footwear-lite-654/1200/1200,nike-footwear-lite-654.jpg,IN,399,True,"daily,travel,gaming",Unisex,"White, Black, Wolf Grey, University Blue","7, 8, 9, 10, 11, 12",Polyester,4.8,203,57,3.24,55x31x16,09-10-2025,,10
2000019,NIK-00019,Nike Footwear Sport 2609,nike-footwear-sport-2609,Nike,Footwear,75,USD,"Lace up and light out in the Nike Footwear Sport 2609, a sleek training partner engineered for explosive sprints and all-day city miles. Feather-light mesh teams up with a responsive foam midsole to keep every stride spring-loaded and sweat-free, while the rubber traction pods grip corners like velcro on pavement. Subtle reflective hits flash when daylight fades, turning evening jogs into stealth style statements.",https://picsum.photos/seed/nike-footwear-sport-2609/1200/1200,nike-footwear-sport-2609.jpg,"UK,CA,DE,IN",156,True,"wireless,premium,sport",Women,"White, Black, Cool Grey, Midnight Navy","7, 8, 9, 10, 11, 12",Resin,3.6,568,74,1.01,46x37x26,09-10-2025,,10
2000020,NIK-00020,Nike Footwear Edition 5426,nike-footwear-edition-5426,Nike,Footwear,75,USD,"Slide into your new daily companion: Nike Footwear Edition 5426 fuses feather-light engineering with street-ready swagger, turning every sidewalk into your personal runway. Breathable mesh keeps feet cool when the pace picks up, while a cushioned midsole rebounds energy back into your stride so you finish the day feeling fresher than you started. Whether you're crushing a 5K or cruising to class, these kicks prove that performance and polish can share the same lace-up silhouette.",https://picsum.photos/seed/nike-footwear-edition-5426/1200/1200,nike-footwear-edition-5426.jpg,"FR,IN",19,True,"premium,travel,leather",Men,"White, Black, Grey, Navy, Olive","7, 8, 9, 10, 11, 12",Synthetic,5.0,947,74,2.04,21x7x28,09-10-2025,,10
2000021,NIK-00021,Nike Footwear Pro 8519,nike-footwear-pro-8519,Nike,Footwear,89,USD,"Lace up and light out in the Nike Footwear Pro 8519—engineered for athletes who refuse to settle for average. Feather-light mesh hugs your foot while responsive cushioning snaps every stride back with explosive energy, turning sidewalks into launchpads. Reinforced high-wear zones laugh at scuffs, so you stay looking fresh from mile one to marathon fun. A sleek, speed-stripe silhouette pairs with reflective hits, keeping your style fast even when the sun clocks out.",https://picsum.photos/seed/nike-footwear-pro-8519/1200/1200,nike-footwear-pro-8519.jpg,"DE,US,IN",319,True,"office,urban,daily",Unisex,"Black/White, White/Pure Platinum, Grey/Volt, Navy/University Red","7, 8, 9, 10, 11, 12",Denim,4.3,2672,76,1.07,13x17x27,09-10-2025,,10
2000022,NIK-00022,Nike Footwear X 2852,nike-footwear-x-2852,Nike,Footwear,75,USD,"Lace into limitless energy with the Nike Footwear X 2852—an agile fusion of feather-light mesh and responsive cushioning that turns city sidewalks and treadmill belts into your personal playground. Sleek lines and a subtle Swoosh pop give you that classic Nike swagger, while the grippy rubber outsole keeps every stride as confident as your first. Whether you're crushing a 5K dash or a coffee-run sprint, these kicks keep comfort and street-style locked in perfect stride.",https://picsum.photos/seed/nike-footwear-x-2852/1200/1200,nike-footwear-x-2852.jpg,IN,146,True,"leather,urban,fitness",Women,"White, Black, Grey, Navy, Red","7, 8, 9, 10, 11, 12",Resin,3.9,3622,87,1.81,55x55x11,09-10-2025,,10
2000023,NIK-00023,Nike Footwear Max 4650,nike-footwear-max-4650,Nike,Footwear,75,USD,"Feel every stride turn effortless in the Nike Footwear Max 4650, a feather-light runner engineered with responsive cushioning that springs you forward and a breathable knit upper that hugs like a second skin. Its sculpted midsole absorbs shock on city streets while the grippy outsole keeps you sure-footed from dawn jogs to dusk errands. Finished in sleek, modern lines and signature Swoosh swagger, this pair proves performance and street style can coexist—so lace up and outrun yesterday.",https://picsum.photos/seed/nike-footwear-max-4650/1200/1200,nike-footwear-max-4650.jpg,CA,487,True,"wireless,office,budget",Unisex,"White, Black, Grey, Blue","7, 8, 9, 10, 11, 12",Mesh,3.1,3892,73,2.7,34x31x37,09-10-2025,,10
2000024,PUM-00024,Puma Footwear Eco 6292,puma-footwear-eco-6292,Puma,Footwear,65,USD,"Lace up and lighten your footprint with the Puma Footwear Eco 6292, a sleek sneaker spun from recycled knits that feel like clouds on your morning jog. Its springy midsole returns energy with every stride, while the grippy, see-through sole keeps city streets firmly in focus. Subtle Puma form-stripe branding flashes in the light, turning heads whether you’re hitting the gym or the coffee queue. Ultra-breathable mesh keeps feet cool, and the padded collar hugs ankles without rubbing them the wrong way. Slip them on once, and you’ll swear sustainability never felt so fast.",https://picsum.photos/seed/puma-footwear-eco-6292/1200/1200,puma-footwear-eco-6292.jpg,CA,217,True,"wireless,running,fitness",Women,"White, Black, Grey, Navy","7, 8, 9, 10, 11, 12",Mesh,4.1,994,65,2.81,47x38x36,09-10-2025,,12
2000025,PUM-00025,Puma Footwear Lite 7252,puma-footwear-lite-7252,Puma,Footwear,65,USD,"Feather-light yet fiercely durable, the Puma Footwear Lite 7252 is engineered for athletes who refuse to slow down. Its breathable mesh hugs the foot like a second skin, while responsive cushioning turns every sidewalk into a launchpad. Slip them on and you’ll feel the street-ready swagger that only Puma can deliver—whether you’re crushing a 5K or just crushing your daily steps.",https://picsum.photos/seed/puma-footwear-lite-7252/1200/1200,puma-footwear-lite-7252.jpg,"CA,FR,DE,UK",380,True,"urban,wireless,budget",Unisex,"White, Black, Grey, Navy, Red","7, 8, 9, 10, 11, 12",Metal,4.3,2249,75,2.51,20x22x22,09-10-2025,,15
2000026,PUM-00026,Puma Footwear Lite 8850,puma-footwear-lite-8850,Puma,Footwear,64,USD,"Feather-light yet fiercely durable, the Puma Lite 8850 turns every sidewalk into a runway with its sleek, speed-inspired silhouette and cloud-soft cushioning. Engineered mesh keeps feet breathing while a grippy rubber outsole hugs corners like a sports car—perfect for crushing 5Ks or weekend coffee dashes in eye-catching style. Slip them on and feel the pop of responsive foam that makes each stride feel like you're cheating gravity.",https://picsum.photos/seed/puma-footwear-lite-8850/1200/1200,puma-footwear-lite-8850.jpg,"AU,UK",32,True,"daily,leather,eco",Women,"Black-White, Navy-Red, Gray-Lime, White-Silver","7, 8, 9, 10, 11, 12",Mesh,3.4,3441,67,2.71,49x6x37,09-10-2025,,10
2000027,PUM-00027,Puma Footwear X 7815,puma-footwear-x-7815,Puma,Footwear,75,USD,"Lace up and light out in the Puma Footwear X 7815, a street-smart hybrid engineered for dawn-to-dusk comfort with cloud-soft cushioning and feather-light support. Its sleek, aerodynamic upper hugs every stride, turning sidewalks into runways while reflective accents keep you visible after sunset. Built with recycled performance mesh and a grippy, flex-groove sole, this pair keeps pace with gym sprints, coffee dashes, and weekend wanderings without missing a beat. Grab yours and feel the city move with you.",https://picsum.photos/seed/puma-footwear-x-7815/1200/1200,puma-footwear-x-7815.jpg,"FR,AU,CA,UK",249,True,"wireless,budget,leather",Men,"Puma White, Asphalt Grey, Electric Blue, Core Black","7, 8, 9, 10, 11, 12",Resin,4.3,3312,94,2.95,13x44x35,09-10-2025,,15
2000028,PUM-00028,Puma Footwear Pro 6456,puma-footwear-pro-6456,Puma,Footwear,75,USD,"Engineered for the urban athlete, the Puma Footwear Pro 6456 fuses street style with track-ready tech—lightweight knit uppers breathe through every sprint, while the energy-return midsole keeps your bounce alive from subway dash to gym floor. A cushioned collar hugs the ankle for blister-free miles, and the grippy rubber outsole turns city sidewalks into your personal runway. Slip them on and you’ll feel why Puma’s legacy of speed now comes dressed in all-day comfort.",https://picsum.photos/seed/puma-footwear-pro-6456/1200/1200,puma-footwear-pro-6456.jpg,"UK,DE,CA,US",133,True,"fitness,eco,premium",Men,"Black-White, Grey-Blue, White-Red, Triple Black","7, 8, 9, 10, 11, 12",Plastic,3.6,3453,65,0.33,6x52x35,09-10-2025,,10
2000029,PUM-00029,Puma Footwear Pro 5734,puma-footwear-pro-5734,Puma,Footwear,70,USD,"Lace up and light out with the Puma Footwear Pro 5734—a street-smart runner that fuses feather-light mesh with energy-return foam, keeping every stride spring-loaded and sweat-free. Its grippy, wave-pattern sole bites pavement and treadmill alike, while the sleek, monochrome upper pairs with jeans, joggers, or gym shorts for all-day swagger. Whether you’re chasing miles or mirroring city lights, these kicks turn comfort into confidence with every step.",https://picsum.photos/seed/puma-footwear-pro-5734/1200/1200,puma-footwear-pro-5734.jpg,UK,102,True,"sport,travel,running",Unisex,"Black-White, Steel-Gray, Navy-Blaze, Puma White-Gum","7, 8, 8.5, 9, 9.5, 10, 10.5, 11, 12",Leather,4.1,1785,70,0.93,28x15x39,09-10-2025,,15
2000030,PUM-00030,Puma Footwear Max 2684,puma-footwear-max-2684,Puma,Footwear,75,USD,"Turn every sidewalk into a runway with the Puma Footwear Max 2684, a sleek fusion of street-style swagger and cloud-soft cushioning. Engineered mesh hugs your foot like a second skin while the feather-light midsole launches you forward with each stride. Whether you’re crushing a 5K or chasing the bus, this pair keeps you looking sharp and feeling unstoppable.",https://picsum.photos/seed/puma-footwear-max-2684/1200/1200,puma-footwear-max-2684.jpg,"FR,AU,DE",203,True,"leather,casual,travel",Women,"Black, White, Grey, Navy","7, 8, 9, 10, 11",Denim,4.7,4918,100,2.8,41x55x3,09-10-2025,,12
2000031,PUM-00031,Puma Footwear Lite 8729,puma-footwear-lite-8729,Puma,Footwear,64,USD,"Feather-light yet fiercely durable, the Puma Footwear Lite 8729 turns every sidewalk into your personal runway with cloud-soft cushioning and a sleek, speed-inspired silhouette. Engineered mesh keeps feet cool while reflective pops keep you visible from dawn workouts to late-night meet-ups. Slip them on and feel the energy return with every stride—proof that performance and street-ready swagger can coexist. Grab yours and outrun yesterday’s best self, one effortless step at a time.",https://picsum.photos/seed/puma-footwear-lite-8729/1200/1200,puma-footwear-lite-8729.jpg,"US,DE,AU",54,True,"daily,eco,office",Men,"White, Black, Grey, Navy","7, 8, 9, 10, 11, 12",Polyester,4.5,2212,85,3.22,54x35x30,09-10-2025,,10
2000032,PUM-00032,Puma Footwear X 9708,puma-footwear-x-9708,Puma,Footwear,74,USD,"Lace up and light out with the Puma Footwear X 9708, engineered for athletes who refuse to settle for average. Its feather-light knit upper breathes with every stride while a responsive foam midsole catapults you forward, turning city streets into your personal runway. Grippy rubber tread keeps you sure-footed from sunrise sprints to midnight meet-ups, and the sleek, street-ready silhouette scores style points long after your cooldown. Slip them on once and you’ll know why these kicks are the secret weapon of personal-record chasers.",https://picsum.photos/seed/puma-footwear-x-9708/1200/1200,puma-footwear-x-9708.jpg,"DE,UK,CA",291,True,"fitness,eco,sport",Men,"White, Black, Grey, Navy, Electric Blue","6, 7, 8, 9, 10, 11, 12",Metal,3.4,2116,58,3.09,49x22x36,09-10-2025,,10
2000033,PUM-00033,Puma Footwear Pro 8465,puma-footwear-pro-8465,Puma,Footwear,75,USD,"Engineered for the everyday athlete and the street-style star alike, the Puma Footwear Pro 8465 fuses feather-light cushioning with a sleek, race-ready silhouette that keeps you charging ahead from dawn to dusk. Breathable mesh and supportive overlays hug your foot for a sock-like fit, while the grippy rubber outsole delivers track-level traction on city sidewalks and gym floors. Subtle Puma branding and a matte-metallic heel tab add just enough flash to turn heads without shouting. Lace them up once and you’ll know why these kicks score podium-level comfort and compliments in equal measure.",https://picsum.photos/seed/puma-footwear-pro-8465/1200/1200,puma-footwear-pro-8465.jpg,"FR,UK,DE,CA",229,True,"sport,casual,budget",Unisex,"Black-White, Grey-Neon, Navy-Red, White-Silver","7, 8, 8.5, 9, 9.5, 10, 10.5, 11",Denim,4.3,3023,81,1.88,32x52x36,09-10-2025,,12
2000034,PUM-00034,Puma Footwear Lite 5765,puma-footwear-lite-5765,Puma,Footwear,65,USD,"Float through every stride in Puma’s Lite 5765, a feather-light kick that fuses street swagger with marathon-ready tech. Engineered mesh keeps your feet breathing while the spring-loaded midsole turns pavement into playground. From sunrise jogs to late-night errands, these shoes keep the pace—and the compliments—coming.",https://picsum.photos/seed/puma-footwear-lite-5765/1200/1200,puma-footwear-lite-5765.jpg,"US,AU",98,True,"office,casual,gaming",Women,"White, Black, Grey, Navy","7, 8, 9, 10, 11, 12",Cotton,4.5,2265,91,3.42,38x43x19,09-10-2025,,12
2000035,PUM-00035,Puma Footwear Max 3181,puma-footwear-max-3181,Puma,Footwear,65,USD,"Sprint past yesterday’s personal best in the Puma Footwear Max 3181, a feather-light trainer engineered to blur the line between street style and sprint-day performance. Its breathable knit upper hugs the foot like a second skin, while responsive cushioning sends energy back into every push-off—so you feel fresher, mile after mile. The sleek, monochrome silhouette pairs just as easily with joggers or jeans, making it the go-anywhere shoe that refuses to compromise on speed or swagger.",https://picsum.photos/seed/puma-footwear-max-3181/1200/1200,puma-footwear-max-3181.jpg,AU,273,True,"budget,urban,sport",Unisex,"White, Black, Grey, Navy","7, 8, 9, 10, 11, 12",Polyester,4.3,4021,71,0.09,23x35x31,09-10-2025,,15
2000036,PUM-00036,Puma Footwear 2025 5583,puma-footwear-2025-5583,Puma,Footwear,75,USD,"Step into the future of street-ready performance with the Puma Footwear 2025 5583, a feather-light kick that fuses track-bred tech with city-slick aesthetics. Breathable mesh hugs your foot like a second skin while energy-return foam turns every stride into spring-loaded momentum. Subtle reflective hits keep you seen at dawn or dusk, and the eco-smart outsole grips pavement like it has something to prove. Lace up, stand taller, own the block.",https://picsum.photos/seed/puma-footwear-2025-5583/1200/1200,puma-footwear-2025-5583.jpg,CA,33,True,"fitness,wireless,casual",Women,"Black-White, Grey-Volt, Navy-Red","7, 8, 9, 10, 11",Polyester,4.6,2489,64,0.91,40x53x27,09-10-2025,,12
